"","Character","Node","Appearances"
"317","Mrs Mould",26,2
"318","Mrs Mould",30,2
"319","Mrs Ned Chuzzlewit",1,4
"320","Mrs Ned Chuzzlewit",5,4
"321","Mrs Ned Chuzzlewit",55,4
"322","Mrs Ned Chuzzlewit",44,4
"323","Mrs Norris",18,1
"324","Mrs Pawkins",17,2
"325","Mrs Pawkins",18,2
"326","Mrs Prig",30,5
"327","Mrs Prig",47,5
"328","Mrs Prig",26,5
"329","Mrs Prig",50,5
"330","Mrs Prig",52,5
"331","Mrs Todgers",12,13
"332","Mrs Todgers",52,13
"333","Mrs Todgers",25,13
"334","Mrs Todgers",55,13
"335","Mrs Todgers",10,13
"336","Mrs Todgers",47,13
"337","Mrs Todgers",38,13
"338","Mrs Todgers",31,13
"339","Mrs Todgers",11,13
"340","Mrs Todgers",37,13
"341","Mrs Todgers",9,13
"342","Mrs Todgers",33,13
"343","Mrs Todgers",19,13
"344","Nadgett",48,13
"345","Nadgett",47,13
"346","Nadgett",51,13
"347","Nadgett",30,13
"348","Nadgett",43,13
"349","Nadgett",53,13
"350","Nadgett",49,13
"351","Nadgett",28,13
"352","Nadgett",29,13
"353","Nadgett",39,13
"354","Nadgett",41,13
"355","Nadgett",52,13
"356","Nadgett",42,13
"357","Oscar Buffum",35,1
"358","Pogram",35,1
"359","Professor Mullit",17,1
"360","Professor Piper",35,1
"361","Ruth Pinch",40,6
"362","Ruth Pinch",46,6
"363","Ruth Pinch",37,6
"364","Ruth Pinch",47,6
"365","Ruth Pinch",10,6
"366","Ruth Pinch",49,6
"367","Seth Pecksniff",25,37
"368","Seth Pecksniff",20,37
"369","Seth Pecksniff",13,37
"370","Seth Pecksniff",22,37
"371","Seth Pecksniff",34,37
"372","Seth Pecksniff",52,37
"373","Seth Pecksniff",10,37
"374","Seth Pecksniff",9,37
"375","Seth Pecksniff",12,37
"376","Seth Pecksniff",6,37
"377","Seth Pecksniff",33,37
"378","Seth Pecksniff",37,37
"379","Seth Pecksniff",55,37
"380","Seth Pecksniff",39,37
"381","Seth Pecksniff",48,37
"382","Seth Pecksniff",7,37
"383","Seth Pecksniff",4,37
"384","Seth Pecksniff",36,37
"385","Seth Pecksniff",53,37
"386","Seth Pecksniff",45,37
"387","Seth Pecksniff",32,37
"388","Seth Pecksniff",11,37
"389","Seth Pecksniff",8,37
"390","Seth Pecksniff",26,37
"391","Seth Pecksniff",19,37
"392","Seth Pecksniff",43,37
"393","Seth Pecksniff",3,37
"394","Seth Pecksniff",31,37
"395","Seth Pecksniff",14,37
"396","Seth Pecksniff",5,37
"397","Seth Pecksniff",15,37
"398","Seth Pecksniff",21,37
"399","Seth Pecksniff",41,37
"400","Seth Pecksniff",40,37
"401","Seth Pecksniff",49,37
"402","Seth Pecksniff",44,37
"403","Seth Pecksniff",51,37
"404","Sophia",7,1
"405","Tacker",39,3
"406","Tacker",20,3
"407","Tacker",26,3
"408","Tigg Montague",5,15
"409","Tigg Montague",8,15
"410","Tigg Montague",41,15
"411","Tigg Montague",48,15
"412","Tigg Montague",43,15
"413","Tigg Montague",50,15
"414","Tigg Montague",52,15
"415","Tigg Montague",42,15
"416","Tigg Montague",39,15
"417","Tigg Montague",53,15
"418","Tigg Montague",13,15
"419","Tigg Montague",29,15
"420","Tigg Montague",14,15
"421","Tigg Montague",28,15
"422","Tigg Montague",45,15
"423","Tom Pinch",38,21
"424","Tom Pinch",21,21
"425","Tom Pinch",37,21
"426","Tom Pinch",41,21
"427","Tom Pinch",32,21
"428","Tom Pinch",22,21
"429","Tom Pinch",47,21
"430","Tom Pinch",3,21
"431","Tom Pinch",34,21
"432","Tom Pinch",6,21
"433","Tom Pinch",8,21
"434","Tom Pinch",44,21
"435","Tom Pinch",7,21
"436","Tom Pinch",13,21
"437","Tom Pinch",49,21
"438","Tom Pinch",36,21
"439","Tom Pinch",14,21
"440","Tom Pinch",10,21
"441","Tom Pinch",25,21
"442","Tom Pinch",40,21
"443","Tom Pinch",31,21
"444","William Simmons",14,1
"445","Young Bailey",53,14
"446","Young Bailey",39,14
"447","Young Bailey",29,14
"448","Young Bailey",27,14
"449","Young Bailey",50,14
"450","Young Bailey",33,14
"451","Young Bailey",9,14
"452","Young Bailey",28,14
"453","Young Bailey",42,14
"454","Young Bailey",55,14
"455","Young Bailey",12,14
"456","Young Bailey",10,14
"457","Young Bailey",30,14
"458","Young Bailey",43,14
"459","Zephaniah Scadder",22,5
"460","Zephaniah Scadder",34,5
"461","Zephaniah Scadder",24,5
"462","Zephaniah Scadder",23,5
"463","Zephaniah Scadder",35,5
