"","V1","V2"
"226","Amy Dorrit","Miss Wade"
"227","Amy Dorrit","Mrs Meagles"
"228","Amy Dorrit","Mrs Tickit"
"229","Arthur Clennam","Mrs Tickit"
"230","Daniel Doyce","Harriet Beadle"
"231","Daniel Doyce","Minnie Meagles"
"232","Daniel Doyce","Miss Wade"
"233","Daniel Doyce","Mrs Meagles"
"234","Daniel Doyce","Mrs Tickit"
"235","Harriet Beadle","Mrs Tickit"
"236","Minnie Meagles","Mrs Tickit"
"237","Miss Wade","Mrs Tickit"
"238","Mr Meagles","Mrs Tickit"
"239","Mrs Meagles","Mrs Tickit"
"240","Arthur Clennam","Henry Gowan"
"241","Arthur Clennam","Lady Stiltstalking"
"242","Clarence Barnacle","Henry Gowan"
"243","Clarence Barnacle","Lady Stiltstalking"
"244","Clarence Barnacle","Minnie Meagles"
"245","Clarence Barnacle","Mrs Meagles"
"246","Daniel Doyce","Henry Gowan"
"247","Daniel Doyce","Lady Stiltstalking"
"248","Ferdinand Barnacle","Henry Gowan"
"249","Ferdinand Barnacle","Lady Stiltstalking"
"250","Ferdinand Barnacle","Minnie Meagles"
"251","Ferdinand Barnacle","Mrs Meagles"
"252","Henry Gowan","Lady Stiltstalking"
"253","Henry Gowan","Minnie Meagles"
"254","Henry Gowan","Mr Meagles"
"255","Henry Gowan","Mrs Meagles"
"256","Lady Stiltstalking","Minnie Meagles"
"257","Lady Stiltstalking","Mr Meagles"
"258","Lady Stiltstalking","Mrs Meagles"
"259","Amy Dorrit","Mr John Chivery"
"260","Amy Dorrit","Mrs Chivery"
"261","Edward Dorrit","Mr John Chivery"
"262","Edward Dorrit","Mrs Chivery"
"263","Mr John Chivery","Mr William Dorrit"
"264","Mr John Chivery","Mrs Chivery"
"265","Mr William Dorrit","Mrs Chivery"
"266","Amy Dorrit","Captain Martin"
"267","Captain Martin","Mr Frederick Dorrit"
"268","Captain Martin","Mr John Chivery"
"269","Captain Martin","Mr William Dorrit"
"270","Mr Frederick Dorrit","Mr John Chivery"
"271","Amy Dorrit","Mr Merdle"
"272","Amy Dorrit","Mrs Merdle"
"273","Arthur Clennam","Mr John Chivery"
"274","Arthur Clennam","Mr Merdle"
"275","Arthur Clennam","Mrs Merdle"
"276","Edward Dorrit","Maggy"
"277","Edward Dorrit","Mr Cripples"
"278","Edward Dorrit","Mr Merdle"
"279","Edward Dorrit","Mrs Merdle"
"280","Fanny Dorrit","Mr John Chivery"
"281","Fanny Dorrit","Mr Merdle"
"282","Fanny Dorrit","Mrs Merdle"
"283","Maggy","Mr John Chivery"
"284","Maggy","Mr Merdle"
"285","Maggy","Mrs Merdle"
"286","Mr Cripples","Mr John Chivery"
"287","Mr Cripples","Mr Merdle"
"288","Mr Cripples","Mrs Merdle"
"289","Mr John Chivery","Mr Merdle"
"290","Mr John Chivery","Mr Plornish"
"291","Mr John Chivery","Mrs Merdle"
"292","Mr Merdle","Mr Plornish"
"293","Mr Merdle","Mr William Dorrit"
"294","Mr Merdle","Mrs Merdle"
"295","Mr Plornish","Mrs Merdle"
"296","Mr William Dorrit","Mrs Merdle"
"297","Amy Dorrit","Mr Sparkler"
"298","Amy Dorrit","Physician"
"299","Amy Dorrit","Treasury"
"300","Mr Merdle","Mr Sparkler"
"301","Mr Merdle","Physician"
"302","Mr Merdle","Treasury"
"303","Mr Sparkler","Mrs Merdle"
"304","Mr Sparkler","Physician"
"305","Mr Sparkler","Treasury"
"306","Mrs Merdle","Physician"
"307","Mrs Merdle","Treasury"
"308","Physician","Treasury"
"309","Arthur Clennam","Mrs Chivery"
"310","Maggy","Mrs Chivery"
"311","Daniel Doyce","Flora Finching"
"312","Daniel Doyce","Mr F.'s Aunt"
"313","Flora Finching","Mr Meagles"
"314","Flora Finching","Mr Plornish"
"315","Flora Finching","Mrs Plornish"
"316","Mr F.'s Aunt","Mr Meagles"
"317","Mr F.'s Aunt","Mr Plornish"
"318","Mr F.'s Aunt","Mrs Plornish"
"319","Christopher Casby","Maggy"
"320","Edward Dorrit","Flora Finching"
"321","Edward Dorrit","Mr F.'s Aunt"
"322","Flora Finching","Maggy"
"323","Flora Finching","Mrs Clennam"
"324","Maggy","Mr F.'s Aunt"
"325","Maggy","Mr Pancks"
"326","Mr F.'s Aunt","Mrs Clennam"
"327","Anastasia Rugg","Arthur Clennam"
"328","Anastasia Rugg","John Baptist Cavalletto"
"329","Anastasia Rugg","Lord Decimus Tite Barnacle"
"330","Anastasia Rugg","Mr John Chivery"
"331","Anastasia Rugg","Mr Pancks"
"332","Anastasia Rugg","Mr Rugg"
"333","Anastasia Rugg","Mrs Chivery"
"334","Anastasia Rugg","Mrs Plornish"
"335","Arthur Clennam","John Baptist Cavalletto"
"336","Arthur Clennam","Mr Rugg"
"337","John Baptist Cavalletto","Lord Decimus Tite Barnacle"
"338","John Baptist Cavalletto","Mr John Chivery"
"339","John Baptist Cavalletto","Mr Pancks"
"340","John Baptist Cavalletto","Mr Rugg"
"341","John Baptist Cavalletto","Mrs Chivery"
