"V1","V2"
"Alfred Lammle","Sophronia Akershem"
"Analytical Chemist","Sophronia Akershem"
"Boots Brewer","Sophronia Akershem"
"Eugene Wrayburn","Sophronia Akershem"
"Lady Tippins","Sophronia Akershem"
"Lord Snigsworth","Sophronia Akershem"
"Melvin Twemlow","Sophronia Akershem"
"Mortimer Lightwood","Sophronia Akershem"
"Mr Podsnap","Sophronia Akershem"
"Mr Veneering","Sophronia Akershem"
"Mrs  Veneering","Sophronia Akershem"
"Mrs Podsnap","Sophronia Akershem"
"Alfred Lammle","Georgiana Podsnap"
"Alfred Lammle","Mr Grompus"
"Alfred Lammle","Mr Wilfer"
"Georgiana Podsnap","Mr Grompus"
"Georgiana Podsnap","Mr Podsnap"
"Georgiana Podsnap","Mr Veneering"
"Georgiana Podsnap","Mr Wilfer"
"Georgiana Podsnap","Mrs  Veneering"
"Georgiana Podsnap","Mrs Podsnap"
"Georgiana Podsnap","Sophronia Akershem"
"Mr Grompus","Mr Podsnap"
"Mr Grompus","Mr Veneering"
"Mr Grompus","Mr Wilfer"
"Mr Grompus","Mrs  Veneering"
"Mr Grompus","Mrs Podsnap"
"Mr Grompus","Sophronia Akershem"
"Mr Podsnap","Mr Wilfer"
"Mr Wilfer","Mrs  Veneering"
"Mr Wilfer","Mrs Podsnap"
"Mr Wilfer","Sophronia Akershem"
"Abbey Potterson","Alfred Lammle"
"Abbey Potterson","Blight"
"Abbey Potterson","Mortimer Lightwood"
"Abbey Potterson","Mr Inspector"
"Abbey Potterson","Mr Podsnap"
"Alfred Lammle","Blight"
"Alfred Lammle","Gaffer Hexam"
"Alfred Lammle","George Jones"
"Alfred Lammle","Mr Inspector"
"Alfred Lammle","Rogue Riderhood"
"Blight","Gaffer Hexam"
"Blight","George Jones"
"Blight","Mr Inspector"
"Blight","Mr Podsnap"
"Blight","Rogue Riderhood"
"Gaffer Hexam","Mr Podsnap"
"George Jones","Mortimer Lightwood"
"George Jones","Mr Inspector"
"George Jones","Mr Podsnap"
"Mortimer Lightwood","Rogue Riderhood"
"Mr Inspector","Mr Podsnap"
"Mr Inspector","Rogue Riderhood"
"Mr Podsnap","Rogue Riderhood"
"Bob Gliddery","Mortimer Lightwood"
"Bob Gliddery","Mr Inspector"
"Gaffer Hexam","Mr Boffin"
"Mr Boffin","Mr Inspector"
"Mr Boffin","Rogue Riderhood"
"Bella Wilfer","Silas Wegg"
"John Harmon","Silas Wegg"
"Bella Wilfer","Betty Higden"
"Bella Wilfer","Johnny"
"Bella Wilfer","Poddles"
"Bella Wilfer","Sloppy"
"Bella Wilfer","Toddles"
"Betty Higden","Blight"
"Betty Higden","John Harmon"
"Betty Higden","Johnny"
"Betty Higden","Mortimer Lightwood"
"Betty Higden","Mr Boffin"
"Betty Higden","Mr Wilfer"
"Betty Higden","Mrs Boffin"
"Betty Higden","Mrs Milvey"
"Betty Higden","Mrs Wilfer"
"Betty Higden","Poddles"
"Betty Higden","Reverend  FrankMilvey"
"Betty Higden","Sloppy"
"Betty Higden","Toddles"
"Blight","Johnny"
"Blight","Mrs Milvey"
"Blight","Mrs Wilfer"
"Blight","Poddles"
"Blight","Reverend  FrankMilvey"
"Blight","Sloppy"
"Blight","Toddles"
"John Harmon","Johnny"
"John Harmon","Poddles"
"John Harmon","Sloppy"
"John Harmon","Toddles"
"Johnny","Mortimer Lightwood"
"Johnny","Mr Boffin"
"Johnny","Mr Wilfer"
"Johnny","Mrs Boffin"
"Johnny","Mrs Milvey"
"Johnny","Mrs Wilfer"
"Johnny","Poddles"
"Johnny","Reverend  FrankMilvey"
"Johnny","Sloppy"
"Johnny","Toddles"
"Mortimer Lightwood","Mrs Milvey"
"Mortimer Lightwood","Poddles"
"Mortimer Lightwood","Reverend  FrankMilvey"
"Mortimer Lightwood","Sloppy"
"Mortimer Lightwood","Toddles"
"Mr Boffin","Poddles"
"Mr Boffin","Sloppy"
"Mr Boffin","Toddles"
"Mr Wilfer","Poddles"
"Mr Wilfer","Sloppy"
"Mr Wilfer","Toddles"
"Mrs Boffin","Poddles"
"Mrs Boffin","Sloppy"
"Mrs Boffin","Toddles"
"Mrs Milvey","Poddles"
"Mrs Milvey","Sloppy"
"Mrs Milvey","Toddles"
"Mrs Wilfer","Poddles"
"Mrs Wilfer","Sloppy"
"Mrs Wilfer","Toddles"
"Poddles","Reverend  FrankMilvey"
"Poddles","Sloppy"
"Poddles","Toddles"
"Reverend  FrankMilvey","Sloppy"
"Reverend  FrankMilvey","Toddles"
"Sloppy","Toddles"
"Bella Wilfer","Georgiana Podsnap"
"Bella Wilfer","Lady Tippins"
"Bella Wilfer","Melvin Twemlow"
"Bella Wilfer","Mrs  Veneering"
"Bella Wilfer","Mrs Podsnap"
"Bella Wilfer","Mrs Swoshle"
"Bella Wilfer","The Tapkins"
"Georgiana Podsnap","John Harmon"
"Georgiana Podsnap","Lady Tippins"
"Georgiana Podsnap","Melvin Twemlow"
"Georgiana Podsnap","Mr Boffin"
"Georgiana Podsnap","Mrs Boffin"
"Georgiana Podsnap","Mrs Swoshle"
"Georgiana Podsnap","The Tapkins"
"John Harmon","Mrs  Veneering"
"John Harmon","Mrs Podsnap"
"John Harmon","Mrs Swoshle"
"John Harmon","The Tapkins"
"Lady Tippins","Mr Boffin"
"Lady Tippins","Mrs Boffin"
"Lady Tippins","Mrs Swoshle"
"Lady Tippins","The Tapkins"
"Melvin Twemlow","Mr Boffin"
"Melvin Twemlow","Mrs Boffin"
"Melvin Twemlow","Mrs Swoshle"
"Melvin Twemlow","The Tapkins"
"Mr Boffin","Mr Veneering"
"Mr Boffin","Mrs  Veneering"
"Mr Boffin","Mrs Podsnap"
"Mr Boffin","Mrs Swoshle"
