"Character","Node","Appearances"
"Dick Swiveller",48,28
"Dick Swiveller",59,28
"Dick Swiveller",56,28
"Dick Swiveller",51,28
"Dick Swiveller",60,28
"Dick Swiveller",21,28
"Foxey",36,2
"Foxey",62,2
"Frederick Trent",73,7
"Frederick Trent",6,7
"Frederick Trent",7,7
"Frederick Trent",8,7
"Frederick Trent",13,7
"Frederick Trent",21,7
"Frederick Trent",23,7
"George",28,3
"George",47,3
"George",26,3
"Harry",25,1
"Isaac List",42,4
"Isaac List",29,4
"Isaac List",30,4
"Isaac List",73,4
"Jacob Nubbles",68,16
"Jacob Nubbles",40,16
"Jacob Nubbles",61,16
"Jacob Nubbles",13,16
"Jacob Nubbles",41,16
"Jacob Nubbles",47,16
"Jacob Nubbles",57,16
"Jacob Nubbles",21,16
"Jacob Nubbles",39,16
"Jacob Nubbles",63,16
"Jacob Nubbles",69,16
"Jacob Nubbles",22,16
"Jacob Nubbles",48,16
"Jacob Nubbles",73,16
"Jacob Nubbles",60,16
"Jacob Nubbles",38,16
"James Groves",73,3
"James Groves",29,3
"James Groves",30,3
"Jane Wackles",8,1
"Jerry",19,3
"Jerry",37,3
"Jerry",18,3
"Joe Jowl",73,2
"Joe Jowl",42,2
"John Owen",52,1
"Kit Nubbles",1,41
"Kit Nubbles",56,41
"Kit Nubbles",21,41
"Kit Nubbles",20,41
"Kit Nubbles",72,41
"Kit Nubbles",61,41
"Kit Nubbles",40,41
"Kit Nubbles",68,41
"Kit Nubbles",9,41
"Kit Nubbles",60,41
"Kit Nubbles",3,41
"Kit Nubbles",57,41
"Kit Nubbles",15,41
"Kit Nubbles",73,41
"Kit Nubbles",10,41
"Kit Nubbles",59,41
"Kit Nubbles",47,41
"Kit Nubbles",69,41
"Kit Nubbles",66,41
"Kit Nubbles",41,41
"Kit Nubbles",11,41
"Kit Nubbles",13,41
"Kit Nubbles",63,41
"Kit Nubbles",65,41
"Kit Nubbles",70,41
"Kit Nubbles",12,41
"Kit Nubbles",22,41
"Kit Nubbles",6,41
"Kit Nubbles",64,41
"Kit Nubbles",29,41
"Kit Nubbles",14,41
"Kit Nubbles",38,41
"Kit Nubbles",71,41
"Kit Nubbles",49,41
"Kit Nubbles",58,41
"Kit Nubbles",67,41
"Kit Nubbles",50,41
"Kit Nubbles",51,41
"Kit Nubbles",42,41
"Kit Nubbles",39,41
"Kit Nubbles",48,41
"Little Nell",69,50
"Little Nell",61,50
"Little Nell",9,50
"Little Nell",30,50
"Little Nell",45,50
"Little Nell",29,50
"Little Nell",47,50
"Little Nell",16,50
"Little Nell",43,50
"Little Nell",23,50
"Little Nell",5,50
"Little Nell",68,50
"Little Nell",2,50
"Little Nell",55,50
"Little Nell",1,50
"Little Nell",21,50
"Little Nell",26,50
"Little Nell",71,50
"Little Nell",32,50
"Little Nell",44,50
"Little Nell",17,50
"Little Nell",20,50
"Little Nell",52,50
"Little Nell",13,50
"Little Nell",6,50
"Little Nell",28,50
"Little Nell",73,50
"Little Nell",10,50
"Little Nell",54,50
"Little Nell",7,50
"Little Nell",19,50
"Little Nell",25,50
"Little Nell",15,50
"Little Nell",3,50
"Little Nell",24,50
"Little Nell",41,50
"Little Nell",11,50
"Little Nell",27,50
"Little Nell",18,50
"Little Nell",31,50
"Little Nell",39,50
"Little Nell",14,50
"Little Nell",38,50
"Little Nell",40,50
"Little Nell",42,50
"Little Nell",53,50
"Little Nell",50,50
"Little Nell",46,50
"Little Nell",12,50
"Little Nell",48,50
"Maunders",19,1
"Melissa Wackles",8,1
"Miss Cheggs",8,1
"Miss Edwards",31,2
"Miss Edwards",32,2
"Miss Monflathers",32,3
"Miss Monflathers",31,3
"Miss Monflathers",29,3
"Mr Cheggs",8,4
"Mr Cheggs",21,4
"Mr Cheggs",58,4
"Mr Cheggs",50,4
"Mr Chuckster",14,11
"Mr Chuckster",20,11
"Mr Chuckster",60,11
"Mr Chuckster",69,11
"Mr Chuckster",56,11
"Mr Chuckster",40,11
"Mr Chuckster",38,11
"Mr Chuckster",73,11
"Mr Chuckster",64,11
"Mr Chuckster",65,11
"Mr Chuckster",57,11
"Mr Garland",40,21
"Mr Garland",21,21
"Mr Garland",14,21
"Mr Garland",61,21
"Mr Garland",63,21
"Mr Garland",68,21
"Mr Garland",56,21
"Mr Garland",69,21
"Mr Garland",66,21
"Mr Garland",20,21
"Mr Garland",71,21
"Mr Garland",58,21
"Mr Garland",60,21
"Mr Garland",39,21
"Mr Garland",64,21
"Mr Garland",73,21
"Mr Garland",22,21
"Mr Garland",62,21
"Mr Garland",70,21
"Mr Garland",57,21
"Mr Garland",38,21
"Mr Grinder",17,1
"Mr Harris",26,5
"Mr Harris",37,5
"Mr Harris",19,5
"Mr Harris",18,5
"Mr Harris",17,5
"Mr Marton",52,1
"Mr Slum",28,2
"Mr Slum",47,2
"Mr Tomkinley",14,1
"Mr Vuffin",19,1
"Mr Witherden",20,8
"Mr Witherden",63,8
"Mr Witherden",38,8
"Mr Witherden",40,8
"Mr Witherden",14,8
"Mr Witherden",56,8
"Mr Witherden",66,8
"Mr Witherden",60,8
"Mrs Betsy Quilp",73,13
"Mrs Betsy Quilp",49,13
"Mrs Betsy Quilp",4,13
"Mrs Betsy Quilp",13,13
"Mrs Betsy Quilp",21,13
"Mrs Betsy Quilp",6,13
"Mrs Betsy Quilp",23,13
"Mrs Betsy Quilp",5,13
"Mrs Betsy Quilp",3,13
"Mrs Betsy Quilp",67,13
"Mrs Betsy Quilp",9,13
"Mrs Betsy Quilp",48,13
"Mrs Betsy Quilp",50,13
"Mrs Garland",66,9
"Mrs Garland",61,9
"Mrs Garland",68,9
"Mrs Garland",73,9
"Mrs Garland",40,9
"Mrs Garland",39,9
"Mrs Garland",69,9
"Mrs Garland",21,9
"Mrs Garland",38,9
"Mrs George",4,1
"Mrs Henrietta Simmons",4,1
"Mrs Jarley",30,8
"Mrs Jarley",47,8
"Mrs Jarley",32,8
"Mrs Jarley",73,8
"Mrs Jarley",29,8
"Mrs Jarley",27,8
"Mrs Jarley",28,8
"Mrs Jarley",31,8
"Mrs Jiniwin",73,6
"Mrs Jiniwin",5,6
"Mrs Jiniwin",23,6
"Mrs Jiniwin",50,6
"Mrs Jiniwin",4,6
"Mrs Jiniwin",49,6
"Mrs Nubbles",41,7
"Mrs Nubbles",10,7
"Mrs Nubbles",39,7
"Mrs Nubbles",61,7
"Mrs Nubbles",48,7
"Mrs Nubbles",13,7
"Mrs Nubbles",22,7
"Mrs Wackles",8,1
"Nell Trent",10,50
"Nell Trent",18,50
"Nell Trent",17,50
"Nell Trent",16,50
"Nell Trent",6,50
"Nell Trent",27,50
"Nell Trent",44,50
"Nell Trent",41,50
"Nell Trent",20,50
"Nell Trent",43,50
"Nell Trent",48,50
"Nell Trent",38,50
"Nell Trent",40,50
"Nell Trent",29,50
"Nell Trent",28,50
"Nell Trent",5,50
"Nell Trent",25,50
"Nell Trent",32,50
"Nell Trent",46,50
"Nell Trent",71,50
"Nell Trent",26,50
"Nell Trent",54,50
"Nell Trent",53,50
"Nell Trent",52,50
"Nell Trent",73,50
"Nell Trent",47,50
"Nell Trent",2,50
"Nell Trent",68,50
"Nell Trent",39,50
"Nell Trent",42,50
"Nell Trent",23,50
"Nell Trent",12,50
"Nell Trent",19,50
"Nell Trent",14,50
"Nell Trent",31,50
