"V1","V2"
"Louisa Musgrove","Mrs Penelope Clay"
"Louisa Musgrove","Mr John Shepherd"
"Charles Hayter","Fanny Harville"
"Charles Musgrove","Fanny Harville"
"Fanny Harville","Henrietta Musgrove"
"Fanny Harville","Lady Russell"
"Fanny Harville","Mary Elliot"
"Charles Hayter","Mr William Elliot"
"Captain Harville","Elizabeth Elliot"
"Anne Elliot","Colonel Wallis"
"Anne Elliot","Mrs William Elliot"
"Colonel Wallis","Elizabeth Elliot"
"Colonel Wallis","Mr William Elliot"
"Colonel Wallis","Mrs Penelope Clay"
"Colonel Wallis","Mrs William Elliot"
"Colonel Wallis","Sir Walter Elliot"
"Elizabeth Elliot","Mrs William Elliot"
"Mr William Elliot","Mrs Penelope Clay"
"Mr William Elliot","Mrs William Elliot"
"Mrs Penelope Clay","Mrs William Elliot"
"Mrs William Elliot","Sir Walter Elliot"
"Colonel Wallis","Mary Elliot"
"Colonel Wallis","Lady Russell"
"Anne Elliot","The Dowager Countess Dalrymple"
"Anne Elliot","The Honourable Miss Carteret"
"Anne Elliot","The Late Viscount Dalrymple"
"Elizabeth Elliot","The Dowager Countess Dalrymple"
"Elizabeth Elliot","The Honourable Miss Carteret"
"Elizabeth Elliot","The Late Viscount Dalrymple"
"Lady Elliot","The Dowager Countess Dalrymple"
"Lady Elliot","The Honourable Miss Carteret"
"Lady Elliot","The Late Viscount Dalrymple"
"Lady Russell","The Dowager Countess Dalrymple"
"Lady Russell","The Honourable Miss Carteret"
"Lady Russell","The Late Viscount Dalrymple"
"Mary Elliot","The Dowager Countess Dalrymple"
"Mary Elliot","The Honourable Miss Carteret"
"Mary Elliot","The Late Viscount Dalrymple"
"Mr William Elliot","The Dowager Countess Dalrymple"
"Mr William Elliot","The Honourable Miss Carteret"
"Mr William Elliot","The Late Viscount Dalrymple"
"Sir Walter Elliot","The Dowager Countess Dalrymple"
"Sir Walter Elliot","The Honourable Miss Carteret"
"Sir Walter Elliot","The Late Viscount Dalrymple"
"The Dowager Countess Dalrymple","The Honourable Miss Carteret"
"The Dowager Countess Dalrymple","The Late Viscount Dalrymple"
"The Honourable Miss Carteret","The Late Viscount Dalrymple"
"Anne Elliot","Mrs Smith"
"Elizabeth Elliot","Mrs Smith"
"Lady Russell","Mrs Smith"
"Mrs Smith","Sir Walter Elliot"
"Anne Elliot","Nurse Rooke"
"Elizabeth Elliot","Nurse Rooke"
"Mrs Penelope Clay","Mrs Smith"
"Mrs Penelope Clay","Nurse Rooke"
"Mrs Penelope Clay","The Dowager Countess Dalrymple"
"Mrs Smith","Nurse Rooke"
"Mrs Smith","The Dowager Countess Dalrymple"
"Nurse Rooke","Sir Walter Elliot"
"Nurse Rooke","The Dowager Countess Dalrymple"
"Anne Elliot","Sir Henry Russell"
"Colonel Wallis","Lady Elliot"
"Colonel Wallis","Mrs Smith"
"Colonel Wallis","Sir Henry Russell"
"Elizabeth Elliot","Sir Henry Russell"
"Lady Elliot","Mrs Penelope Clay"
"Lady Elliot","Mrs Smith"
"Lady Elliot","Sir Henry Russell"
"Lady Russell","Sir Henry Russell"
"Mr William Elliot","Mrs Smith"
"Mr William Elliot","Sir Henry Russell"
"Mrs Penelope Clay","Sir Henry Russell"
"Mrs Smith","Sir Henry Russell"
"Sir Henry Russell","Sir Walter Elliot"
"Admiral Croft","Jemima"
"Admiral Croft","Mr William Elliot"
"Captain Benwick","Jemima"
"Captain Benwick","Mr Hayter"
"Captain Benwick","Mrs Hayter"
"Captain Harville","Jemima"
"Captain Harville","Mr Hayter"
"Captain Harville","Mrs Hayter"
"Captain Harville","Sir Walter Elliot"
"Charles Hayter","Jemima"
"Charles Hayter","Mrs Penelope Clay"
"Charles Hayter","Sir Walter Elliot"
"Jemima","Mr Hayter"
"Jemima","Mr William Elliot"
"Jemima","Mrs Croft"
"Jemima","Mrs Hayter"
"Jemima","Mrs Penelope Clay"
"Jemima","Sir Walter Elliot"
"Mr Hayter","Mr William Elliot"
"Mr Hayter","Mrs Penelope Clay"
"Mr Hayter","Sir Walter Elliot"
"Mr William Elliot","Mrs Croft"
"Mr William Elliot","Mrs Hayter"
"Mrs Hayter","Mrs Penelope Clay"
"Mrs Hayter","Sir Walter Elliot"
"Admiral Croft","The Dowager Countess Dalrymple"
"Captain Benwick","The Dowager Countess Dalrymple"
