"V1","V2"
"Alfred Jingle","Mr Trundle"
"Emily Wardle","Emma"
"Emma","Isabella Wardle"
"Emma","Mr Trundle"
"Alfred Jingle","Mrs Wardle"
"Alfred Jingle","Rachael Wardle"
"Joe","Mrs Wardle"
"Mrs Wardle","Rachael Wardle"
"Alfred Jingle","Mrs Weller"
"Alfred Jingle","Sam Weller"
"Alfred Jingle","Tony Weller"
"Mrs Weller","Rachael Wardle"
"Mrs Weller","Sam Weller"
"Mrs Weller","Tony Weller"
"Rachael Wardle","Sam Weller"
"Rachael Wardle","Tony Weller"
"Sam Weller","Tony Weller"
"Mr Wardle","Sam Weller"
"Sam Weller","Samuel Pickwick"
"Alfred Jingle","Mr Perker"
"Mr Perker","Mr Wardle"
"Mr Perker","Rachael Wardle"
"Mr Perker","Sam Weller"
"Mr Perker","Samuel Pickwick"
"Clergyman","Mr Perker"
"Clergyman","Mr Blotton"
"Mr Blotton","Samuel Pickwick"
"Martha Bardell","Samuel Pickwick"
"Martha Bardell","Tom Bardell"
"Samuel Pickwick","Tom Bardell"
"Augustus Snodgrass","Martha Bardell"
"Augustus Snodgrass","Sam Weller"
"Augustus Snodgrass","Tom Bardell"
"Augustus Snodgrass","Tony Weller"
"Martha Bardell","Nathaniel Winkle"
"Martha Bardell","Sam Weller"
"Martha Bardell","Tony Weller"
"Martha Bardell","Tracy Tupman"
"Nathaniel Winkle","Sam Weller"
"Nathaniel Winkle","Tom Bardell"
"Nathaniel Winkle","Tony Weller"
"Sam Weller","Tom Bardell"
"Sam Weller","Tracy Tupman"
"Samuel Pickwick","Tony Weller"
"Tom Bardell","Tony Weller"
"Tom Bardell","Tracy Tupman"
"Tony Weller","Tracy Tupman"
"Hon Slumkey","Horatio Fizkin"
"Hon Slumkey","Sam Weller"
"Hon Slumkey","Samuel Pickwick"
"Horatio Fizkin","Sam Weller"
"Horatio Fizkin","Samuel Pickwick"
"Augustus Snodgrass","Hon Slumkey"
"Augustus Snodgrass","Horatio Fizkin"
"Augustus Snodgrass","Mr Perker"
"Augustus Snodgrass","Mr Pott"
"Hon Slumkey","Mr Perker"
"Hon Slumkey","Mr Pott"
"Hon Slumkey","Tracy Tupman"
"Horatio Fizkin","Mr Perker"
