"source" "target" "tag"
92 93 "Oliver Twist"
93 94 "Brittles"
93 94 "Mr Giles"
94 95 "Mr Giles"
94 95 "Mr Losberne"
94 95 "Mrs Maylie"
94 95 "Rose Maylie"
94 96 "Brittles"
95 96 "Mr Giles"
95 96 "Mr Losberne"
95 96 "Mrs Maylie"
93 96 "Oliver Twist"
95 96 "Rose Maylie"
96 97 "Brittles"
96 97 "Mr Giles"
96 97 "Mr Losberne"
96 97 "Oliver Twist"
96 97 "Rose Maylie"
97 98 "Brittles"
97 98 "Mr Giles"
97 98 "Mr Losberne"
98 99 "Brittles"
98 99 "Mr Giles"
98 99 "Mr Losberne"
96 99 "Mrs Maylie"
97 99 "Rose Maylie"
99 100 "Blathers"
99 100 "Duff"
99 100 "Mr Losberne"
99 100 "Mrs Maylie"
99 100 "Rose Maylie"
100 101 "Blathers"
100 101 "Conkey Chickweed"
100 101 "Duff"
99 101 "Mr Giles"
100 101 "Mr Losberne"
97 101 "Oliver Twist"
100 101 "Rose Maylie"
101 102 "Blathers"
99 102 "Brittles"
101 102 "Conkey Chickweed"
101 102 "Duff"
101 102 "Mr Giles"
101 102 "Mr Losberne"
100 102 "Mrs Maylie"
101 102 "Oliver Twist"
101 102 "Rose Maylie"
91 103 "Bill Sikes"
102 103 "Mr Losberne"
102 103 "Mrs Maylie"
102 103 "Oliver Twist"
102 103 "Rose Maylie"
57 104 "Mr Brownlow"
103 104 "Mr Losberne"
57 104 "Mrs Bedwin"
103 104 "Oliver Twist"
85 105 "Fagin"
102 105 "Mr Giles"
103 105 "Mrs Maylie"
104 105 "Oliver Twist"
103 105 "Rose Maylie"
105 106 "Oliver Twist"
106 107 "Oliver Twist"
105 107 "Rose Maylie"
105 108 "Mrs Maylie"
107 108 "Oliver Twist"
107 108 "Rose Maylie"
104 109 "Mr Losberne"
108 109 "Mrs Maylie"
108 109 "Oliver Twist"
108 109 "Rose Maylie"
109 110 "Mr Losberne"
109 110 "Mrs Maylie"
109 110 "Oliver Twist"
109 110 "Rose Maylie"
110 111 "Mr Losberne"
110 111 "Mrs Maylie"
110 111 "Oliver Twist"
109 112 "Harry Maylie"
105 112 "Mr Giles"
111 112 "Mr Losberne"
111 112 "Mrs Maylie"
111 112 "Oliver Twist"
110 112 "Rose Maylie"
112 113 "Harry Maylie"
112 113 "Mr Giles"
112 113 "Mr Losberne"
112 113 "Mrs Maylie"
112 113 "Oliver Twist"
112 113 "Rose Maylie"
113 114 "Harry Maylie"
113 114 "Mr Giles"
113 114 "Mr Losberne"
113 114 "Mrs Maylie"
113 114 "Oliver Twist"
113 114 "Rose Maylie"
114 115 "Oliver Twist"
102 116 "Duff"
114 116 "Harry Maylie"
114 116 "Mr Giles"
114 116 "Mr Losberne"
114 116 "Mrs Maylie"
115 116 "Oliver Twist"
114 116 "Rose Maylie"
116 117 "Harry Maylie"
116 117 "Rose Maylie"
117 118 "Harry Maylie"
117 118 "Rose Maylie"
118 119 "Harry Maylie"
116 119 "Mr Giles"
116 119 "Mr Losberne"
116 119 "Oliver Twist"
118 119 "Rose Maylie"
89 120 "Mr Bumble"
88 120 "Mrs Corney"
120 121 "Mr Bumble"
120 121 "Mrs Corney"
121 122 "Mr Bumble"
122 123 "Mr Bumble"
121 123 "Mrs Corney"
119 123 "Oliver Twist"
78 123 "Sally"
86 124 "Edward Leeford"
123 124 "Mr Bumble"
124 125 "Edward Leeford"
124 125 "Mr Bumble"
125 126 "Edward Leeford"
125 126 "Mr Bumble"
123 126 "Sally"
126 127 "Edward Leeford"
126 127 "Mr Bumble"
85 128 "Artful Dodger"
103 128 "Bill Sikes"
80 128 "Charley Bates"
105 128 "Fagin"
84 128 "Nancy"
128 129 "Artful Dodger"
128 129 "Bill Sikes"
128 129 "Charley Bates"
128 129 "Fagin"
128 129 "Nancy"
129 130 "Artful Dodger"
129 130 "Bill Sikes"
129 130 "Charley Bates"
127 130 "Edward Leeford"
129 130 "Fagin"
129 130 "Nancy"
91 130 "Toby Crackit"
80 130 "Tom Chitling"
130 131 "Bill Sikes"
130 131 "Edward Leeford"
130 131 "Fagin"
130 131 "Nancy"
131 132 "Bill Sikes"
131 132 "Nancy"
132 133 "Nancy"
131 134 "Edward Leeford"
131 134 "Fagin"
123 134 "Oliver Twist"
119 134 "Rose Maylie"
132 135 "Bill Sikes"
134 135 "Edward Leeford"
134 135 "Fagin"
133 135 "Nancy"
134 135 "Oliver Twist"
134 135 "Rose Maylie"
135 136 "Oliver Twist"
135 136 "Rose Maylie"
119 137 "Harry Maylie"
104 137 "Mr Brownlow"
119 137 "Mr Giles"
