"V1","V2"
"Lord Decimus Tite Barnacle","Mrs Plornish"
"Arthur Clennam","Lord Lancaster Stiltstalking"
"Arthur Clennam","Mrs Gowan"
"Henry Gowan","Lord Lancaster Stiltstalking"
"Henry Gowan","Mrs Gowan"
"Lord Lancaster Stiltstalking","Mrs Gowan"
"Arthur Clennam","Augustus Stiltstalking"
"Arthur Clennam","Tudor Stiltstalking"
"Augustus Stiltstalking","Henry Gowan"
"Augustus Stiltstalking","Lord Lancaster Stiltstalking"
"Augustus Stiltstalking","Mr Meagles"
"Augustus Stiltstalking","Mrs Gowan"
"Augustus Stiltstalking","Tudor Stiltstalking"
"Henry Gowan","Tudor Stiltstalking"
"Lord Lancaster Stiltstalking","Mr Meagles"
"Lord Lancaster Stiltstalking","Tudor Stiltstalking"
"Mr Meagles","Mrs Gowan"
"Mr Meagles","Tudor Stiltstalking"
"Mrs Gowan","Tudor Stiltstalking"
"Amy Dorrit","Henry Gowan"
"Henry Gowan","Mr Pancks"
"Minnie Meagles","Mr Pancks"
"Mr Meagles","Mr Pancks"
"Harriet Beadle","Mrs Gowan"
"Minnie Meagles","Mrs Gowan"
"Mrs Gowan","Mrs Tickit"
"Miss Wade","Mrs Meagles"
"Affery Flintwinch","Mr Pancks"
"Christopher Casby","Jeremiah Flintwinch"
"Jeremiah Flintwinch","Mr Pancks"
"Flora Finching","Mrs Clennam"
"Affery Flintwinch","Rigaud"
"Arthur Clennam","Rigaud"
"Jeremiah Flintwinch","Rigaud"
"Mrs Clennam","Rigaud"
"John Edward Nandy","Mr Plornish"
"John Edward Nandy","Mrs Plornish"
"Amy Dorrit","John Edward Nandy"
"John Edward Nandy","Mr William Dorrit"
"Fanny Dorrit","John Edward Nandy"
"John Edward Nandy","Mr John Chivery"
"Arthur Clennam","John Edward Nandy"
"Fanny Dorrit","Mrs Plornish"
"John Edward Nandy","Maggy"
"Maggy","Mr William Dorrit"
"Maggy","Mrs Plornish"
"Arthur Clennam","Mr Rugg"
"Arthur Clennam","Mr Merdle"
"Arthur Clennam","Mrs Merdle"
"Arthur Clennam","Treasury"
"Henry Gowan","Mr Merdle"
"Henry Gowan","Mrs Merdle"
"Henry Gowan","Treasury"
"Mr Meagles","Mr Merdle"
"Mr Meagles","Mrs Merdle"
"Mr Meagles","Treasury"
"Mr Merdle","Mrs Gowan"
"Mr Merdle","Mrs Meagles"
"Mrs Gowan","Mrs Meagles"
"Mrs Gowan","Mrs Merdle"
"Mrs Gowan","Treasury"
"Mrs Meagles","Mrs Merdle"
"Mrs Meagles","Treasury"
"Henry Gowan","Mr Sparkler"
"Mr Sparkler","Mrs Gowan"
"Daniel Doyce","Mrs Gowan"
"Arthur Clennam","Miss Tite Barnacles"
"Henry Gowan","Miss Tite Barnacles"
"Henry Gowan","Mr Tite Barnacle"
"Henry Gowan","Mrs Tickit"
"Henry Gowan","Mrs Tite Barnacle"
"Minnie Meagles","Miss Tite Barnacles"
"Minnie Meagles","Mr Tite Barnacle"
"Minnie Meagles","Mrs Tite Barnacle"
"Miss Tite Barnacles","Mr Meagles"
"Miss Tite Barnacles","Mr Tite Barnacle"
"Miss Tite Barnacles","Mrs Meagles"
"Miss Tite Barnacles","Mrs Tickit"
"Miss Tite Barnacles","Mrs Tite Barnacle"
"Mr Meagles","Mr Tite Barnacle"
"Mr Meagles","Mrs Tite Barnacle"
