"node_id" "tags" "dpub"
"92" "Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram, William Price" "92"
"93" "Edmund Bertram, Henry Crawford, Mary Crawford, William Price" "93"
"94" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, William Price" "94"
"95" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Sir Thomas Bertram, William Price" "95"
"96" "Edmund Bertram, Fanny Price, Henry Crawford, Sir Thomas Bertram, William Price" "96"
"97" "Edmund Bertram, Fanny Price, Julia Bertram, Maria Bertram, Mr Rushworth, Sir Thomas Bertram, William Price" "97"
"98" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, William Price" "98"
"99" "Fanny Price, Henry Crawford, Mary Crawford, William Price" "99"
"100" "Mary Crawford" "100"
"101" "Edmund Bertram, Fanny Price, Mary Crawford, William Price" "101"
"102" "Admiral Crawford, Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram, William Price" "102"
"103" "Admiral Crawford, Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Mrs Norris, William Price" "103"
"104" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Mrs Chapman, William Price" "104"
"105" "Edmund Bertram, Fanny Price, Henry Crawford, Maria Bertram, Mary Crawford, Mr Rushworth, Mrs Norris, Sir Thomas Bertram, William Price" "105"
"106" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram" "106"
"107" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram, William Price" "107"
"108" "Fanny Price, Henry Crawford, Sir Thomas Bertram, William Price" "108"
"109" "Colonel Harrison, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Lady Prescott, Maria Bertram, Mary Crawford, Mrs Norris, Sir Thomas Bertram, William Price" "109"
"110" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Sir Thomas Bertram, William Price" "110"
"111" "Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram" "111"
"112" "Admiral Crawford, Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram" "112"
"113" "Admiral Crawford, Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Mrs Crawford" "113"
"114" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram" "114"
"115" "Admiral Crawford, Fanny Price, Henry Crawford, Mary Crawford, Sir Charles, Sir Thomas Bertram, William Price" "115"
"116" "Fanny Price, Henry Crawford, Sir Thomas Bertram, William Price" "116"
"117" "Fanny Price, Henry Crawford, Mary Crawford, Mrs Norris, Sir Thomas Bertram, William Price" "117"
"118" "Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram, William Price" "118"
"119" "Fanny Price, Henry Crawford, Mary Crawford, Mrs Norris, Sir Thomas Bertram" "119"
"120" "Fanny Price, Henry Crawford, Sir Thomas Bertram, William Price" "120"
"121" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mr Rushworth, Sir Thomas Bertram" "121"
"122" "Fanny Price, Henry Crawford, Mrs Norris, Sir Thomas Bertram" "122"
"123" "Fanny Price, Henry Crawford, Mrs Norris, Nanny, Sir Thomas Bertram" "123"
"124" "Baddeley, Fanny Price, Henry Crawford, Sir Thomas Bertram" "124"
"125" "Fanny Price, Henry Crawford, Maria Bertram, Sir Thomas Bertram, William Price" "125"
"126" "Fanny Price, Henry Crawford, Mr Rushworth, Sir Thomas Bertram" "126"
"127" "Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Sir Thomas Bertram" "127"
"128" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram, William Price" "128"
"129" "Edmund Bertram, Fanny Price, Henry Crawford, Maria Bertram, Sir Thomas Bertram" "129"
"130" "Edmund Bertram, Fanny Price, Henry Crawford" "130"
"131" "Baddeley, Edmund Bertram, Fanny Price, Henry Crawford" "131"
"132" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram" "132"
"133" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth" "133"
"134" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, William Price" "134"
"135" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford" "135"
"136" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram" "136"
"137" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Lady Flora Stornaway, Margaret Fraser, Mary Crawford, Mr Fraser, Mrs Janet Fraser, Sir Thomas Bertram, Tom Bertram" "137"
"138" "Admiral Crawford, Fanny Price, Henry Crawford, Lady Flora Stornaway, Lord Stornaway, Margaret Fraser, Mary Crawford, Mr Fraser, Mr Rushworth, Mrs Janet Fraser, Sir Thomas Bertram" "138"
"139" "Fanny Price, Henry Crawford, Julia Bertram, Mary Crawford, Sir Thomas Bertram, William Price" "139"
"140" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram, William Price" "140"
"141" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram, William Price" "141"
"142" "Betsey Price, Edmund Bertram, Fanny Price, Mary Crawford, Mrs. Frances Price, Sir Thomas Bertram, Susan PriceMP, William Price" "142"
"143" "Edmund Bertram, Fanny Price, William Price" "143"
"144" "Betsey Price, Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Mr Campbell, Mr Price, Sir Thomas Bertram, Susan PriceMP, William Price" "144"
"145" "Betsey Price, Captain Walsh, Fanny Price, Lady Bertram, Mr Price, Mrs. Frances Price, Old Scholey, Rebecca, Sam Price, Susan PriceMP, Turner, William Price" "145"
"146" "Betsey Price, Charlie Price, Fanny Price, Mr Price, Mrs. Frances Price, Rebecca, Sam Price, Susan PriceMP, Tom Bertram, William Price" "146"
"147" "Betsey Price, Fanny Price, Julia Bertram, Lady Bertram, Maria Bertram, Mr Campbell, Mr Price, Mrs. Frances Price, Rebecca, Sam Price, Sir Thomas Bertram, Susan PriceMP, Tom Bertram, William Price" "147"
"148" "Betsey Price, Fanny Price, Lady Bertram, Mary Price, Mrs Norris, Mrs. Admiral Maxwell, Mrs. Frances Price, Rebecca, Susan PriceMP" "148"
"149" "Betsey Price, Charlie Price, Fanny Price, Henry Crawford, Johnny Price, Mrs. Frances Price, Richard Price, Sam Price, Sir Thomas Bertram, William Price" "149"
"150" "Betsey Price, Charlie Price, Edmund Bertram, Fanny Price, Mrs Norris, Susan PriceMP" "150"
"151" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Susan PriceMP" "151"
"152" "Betsey Price, Edmund Bertram, Fanny Price, Susan PriceMP" "152"
"153" "Edmund Bertram, Fanny Price, Susan PriceMP" "153"
"154" "Edmund Bertram, Fanny Price, Henry Crawford, Margaret Fraser, Mary Crawford, Mr Fraser, Mr Price, Mrs Janet Fraser, Mrs. Frances Price, Rebecca, Susan PriceMP, William Price" "154"
"155" "Fanny Price, Henry Crawford, Mr Price, Susan PriceMP" "155"
"156" "Betsey Price, Edmund Bertram, Fanny Price, Henry Crawford, Mr Price, Rebecca, Susan PriceMP" "156"
"157" "Edmund Bertram, Fanny Price, Henry Crawford, Mrs. Frances Price, Rebecca, Sir Thomas Bertram" "157"
"158" "Edmund Bertram, Fanny Price, Henry Crawford, Maddison, Mary Crawford, Rebecca, Sir Thomas Bertram, Susan PriceMP" "158"
"159" "Edmund Bertram, Henry Crawford, Mary Crawford" "159"
"160" "Admiral Crawford, Edmund Bertram, Fanny Price, Henry Crawford, Lady Flora Stornaway, Mary Crawford, Mr Price, Mrs Janet Fraser" "160"
"161" "Fanny Price, Henry Crawford, Maria Bertram, Mary Crawford, Mr Rushworth, Susan PriceMP" "161"
"162" "Fanny Price, Henry Crawford, Susan PriceMP" "162"
"163" "Edmund Bertram, Fanny Price, Henry Crawford, Lady Flora Stornaway, Margaret Fraser, Mary Crawford, Mr Fraser, Mrs Janet Fraser" "163"
"164" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Mrs Janet Fraser, Sir Thomas Bertram" "164"
"165" "Dr Grant, Edmund Bertram, Fanny Price, Mary Crawford, Sir Thomas Bertram, Tom Bertram" "165"
"166" "Fanny Price, Lady Bertram, Mrs. Frances Price, Susan PriceMP, William Price" "166"
"167" "Edmund Bertram, Fanny Price, Mary Crawford, Sir Thomas Bertram, Tom Bertram" "167"
"168" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Tom Bertram" "168"
"169" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Mary Crawford, The Aylmers" "169"
"170" "Fanny Price, Henry Crawford, Julia Bertram, Mary Crawford, Mr Rushworth, Rebecca, Sir Thomas Bertram" "170"
"171" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Price, Mr Rushworth, Mrs. Frances Price, Rebecca, Sir Thomas Bertram, Tom Bertram" "171"
"172" "Edmund Bertram, Fanny Price, Julia Bertram, Maria Bertram, Mrs. Frances Price, Rebecca, Sir Thomas Bertram, Susan PriceMP" "172"
"173" "Edmund Bertram, Fanny Price, Susan PriceMP, Tom Bertram" "173"
"174" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mr Harding, Mr Rushworth, Mrs Norris, Sir Thomas Bertram, Susan PriceMP, Tom Bertram" "174"
"175" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Mrs Rushworth, Sir Thomas Bertram, Tom Bertram" "175"
"176" "Edmund Bertram, Fanny Price, Henry Crawford, Lady Flora Stornaway, Maria Bertram, Mary Crawford, Mr Rushworth" "176"
"177" "Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram" "177"
"178" "Fanny Price, Mary Crawford, Tom Bertram" "178"
"179" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Tom Bertram" "179"
"180" "Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mr Rushworth, Mrs Norris, Sir Thomas Bertram" "180"
"181" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Mrs Janet Fraser, Sir Thomas Bertram, Tom Bertram" "181"
"182" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, Sir Thomas Bertram" "182"
"183" "Dr Grant, Fanny Price, Sir Thomas Bertram, Susan PriceMP, William Price" "183"
