"node_id" "tags" "dpub"
"104" "Anne Steele, Betty, Edward Ferrars, Elinor Dashwood, Lucy Steele, Marianne Dashwood, Mr Pratt, Mr Richardson, Mr Thomas Palmer, Mrs Jennings, Mrs Richardson, Sir John Middleton" "104"
"105" "Lucy Steele, Mrs Jennings" "105"
"106" "ColonelBrandon, Elinor Dashwood, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Jennings" "106"
"107" "Anne Steele, ColonelBrandon, Edward Ferrars, Mrs Ferrars, Mrs Jennings" "107"
"108" "Betty, ColonelBrandon, Edward Ferrars, Elinor Dashwood, Lucy Steele, Marianne Dashwood, Mrs Charlotte Palmer, Mrs Jennings" "108"
"109" "ColonelBrandon, Edward Ferrars, Marianne Dashwood, Mrs Jennings" "109"
"110" "ColonelBrandon, Edward Ferrars, Lucy Steele, Mrs Jennings" "110"
"111" "ColonelBrandon, Edward Ferrars, Lucy Steele, Marianne Dashwood, Mrs Dashwood, Mrs Fanny Dashwood, Mrs Ferrars, Mrs Jennings" "111"
"112" "ColonelBrandon, Edward Ferrars, Lady Mary Middleton, Miss Morton, Mr John Dashwood, Mrs Ferrars" "112"
"113" "Edward Ferrars, Marianne Dashwood, Mrs Fanny Dashwood" "113"
"114" "ColonelBrandon, John Willoughby, Lucy Steele, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Jennings" "114"
"115" "ColonelBrandon, Edward Ferrars, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Jennings" "115"
"116" "ColonelBrandon, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Jennings" "116"
"117" "ColonelBrandon, Marianne Dashwood, Mrs Dashwood, Mrs Jennings" "117"
"118" "ColonelBrandon, Marianne Dashwood, Mrs Charlotte Palmer, Mrs Jennings" "118"
"119" "John Willoughby, Marianne Dashwood, Mrs Jennings" "119"
"120" "ColonelBrandon, John Willoughby, Marianne Dashwood, Mr Thomas Palmer" "120"
"121" "John Willoughby, Marianne Dashwood" "121"
"122" "ElizaBrandon, John Willoughby, Marianne Dashwood" "122"
"123" "John Willoughby, Marianne Dashwood, Miss Sophia Grey, Mrs Jennings, Sir John Middleton" "123"
"124" "John Willoughby, Marianne Dashwood, Mrs Charlotte Palmer, Mrs Jennings, Sir John Middleton" "124"
"125" "John Willoughby, Marianne Dashwood" "125"
"126" "ColonelBrandon, Edward Ferrars, John Willoughby, Marianne Dashwood, Mrs Dashwood, The Miss Careys" "126"
"127" "ColonelBrandon, John Willoughby, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "127"
"128" "John Willoughby" "128"
"129" "ColonelBrandon, ElizaBrandon, John Willoughby, Marianne Dashwood, Mrs Charlotte Palmer, Mrs Dashwood, Mrs Jennings" "129"
"130" "ColonelBrandon, John Willoughby, Marianne Dashwood, Sir John Middleton" "130"
"131" "Anne Steele, John Willoughby, Lucy Steele, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Jennings, Sir John Middleton" "131"
"132" "ColonelBrandon, ElizaBrandon, John Willoughby, Marianne Dashwood, Mrs Dashwood" "132"
"133" "Anne Steele, ColonelBrandon, Edward Ferrars, ElizaBrandon, John Willoughby, Lucy Steele, Marianne Dashwood, Mr Pratt, Mrs Dashwood, Sally, Thomas" "133"
"134" "Marianne Dashwood, Mrs Dashwood, Mrs Ferrars, Thomas" "134"
"135" "ColonelBrandon, Edward Ferrars, Lucy Steele, Marianne Dashwood, Mr Pratt, Mrs Dashwood, Mrs Ferrars, Mrs Jennings" "135"
"136" "Edward Ferrars, Lucy Steele, Marianne Dashwood, Mrs Dashwood" "136"
"137" "Edward Ferrars, Lucy Steele, Marianne Dashwood, Mr Pratt, Mrs Dashwood" "137"
"138" "ColonelBrandon, Edward Ferrars, Lucy Steele, Marianne Dashwood" "138"
"139" "ColonelBrandon, Edward Ferrars, Lucy Steele, Miss Morton, Mrs Dashwood, Mrs Ferrars, Thomas" "139"
"140" "ColonelBrandon, Edward Ferrars, Lucy Steele, Marianne Dashwood, Mr John Dashwood, Mrs Dashwood, Mrs Ferrars, Mrs Jennings, MrsBurgess" "140"
"141" "ColonelBrandon, Edward Ferrars, Marianne Dashwood" "141"
"142" "ColonelBrandon, Edward Ferrars, Marianne Dashwood, Miss Morton, Mrs Fanny Dashwood, Mrs Ferrars, Mrs Jennings" "142"
"143" "ColonelBrandon, Edward Ferrars, Lucy Steele, Marianne Dashwood, Mrs Dashwood, Mrs Fanny Dashwood, Mrs Ferrars" "143"
"144" "ColonelBrandon, John Willoughby, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "144"
