"source" "target" "tag"
"617" 150 151 "Herbert Pocket"
"618" 150 151 "Pip"
"619" 150 152 "Abel Magwitch"
"620" 150 152 "Compeyson"
"621" 77 152 "Mr Havisham"
"622" 151 152 "Pip"
"623" 152 153 "Abel Magwitch"
"624" 152 153 "Compeyson"
"625" 152 153 "Mr Havisham"
"626" 146 153 "Mr Jaggers"
"627" 152 153 "Pip"
"628" 153 154 "Abel Magwitch"
"629" 153 154 "Compeyson"
"630" 151 154 "Herbert Pocket"
"631" 146 154 "Miss Havisham"
"632" 153 154 "Mr Havisham"
"633" 153 154 "Pip"
"634" 154 155 "Abel Magwitch"
"635" 136 155 "Bentley Drummle"
"636" 154 155 "Compeyson"
"637" 142 155 "Estella"
"638" 154 155 "Herbert Pocket"
"639" 142 155 "Joe Gargery"
"640" 154 155 "Miss Havisham"
"641" 136 155 "Mrs Brandley"
"642" 155 156 "Bentley Drummle"
"643" 155 156 "Estella"
"644" 121 156 "Orlick Dolge"
"645" 118 157 "Camilla"
"646" 156 157 "Estella"
"647" 88 157 "Georiana Pocket"
"648" 155 157 "Herbert Pocket"
"649" 155 157 "Miss Havisham"
"650" 153 157 "Mr Jaggers"
"651" 118 157 "Mr Pocket"
"652" 154 157 "Pip"
"653" 104 157 "Sarah Pocket"
"654" 156 158 "Bentley Drummle"
"655" 157 158 "Estella"
"656" 157 158 "Herbert Pocket"
"657" 157 158 "Miss Havisham"
"658" 158 159 "Bentley Drummle"
"659" 158 159 "Estella"
"660" 158 159 "Herbert Pocket"
"661" 147 159 "John Wemmick"
"662" 158 159 "Miss Havisham"
"663" 157 159 "Pip"
"664" 155 160 "Abel Magwitch"
"665" 159 160 "Estella"
"666" 159 160 "John Wemmick"
"667" 130 160 "The Aged"
"668" 159 161 "Herbert Pocket"
"669" 160 161 "John Wemmick"
"670" 150 161 "Mr Clarriker"
"671" 159 161 "Pip"
"672" 160 161 "The Aged"
"673" 111 162 "Clara Barley"
"674" 161 162 "Herbert Pocket"
"675" 161 162 "John Wemmick"
"676" 130 162 "Miss Skiffins"
"677" 161 162 "Pip"
"678" 161 162 "The Aged"
"679" 160 163 "Abel Magwitch"
"680" 162 163 "Clara Barley"
"681" 162 163 "Herbert Pocket"
"682" 162 163 "Pip"
"683" 163 164 "Abel Magwitch"
"684" 163 164 "Clara Barley"
"685" 155 164 "Compeyson"
"686" 163 164 "Herbert Pocket"
"687" 162 164 "John Wemmick"
"688" 163 164 "Old Barley"
"689" 163 164 "Pip"
"690" 164 165 "Abel Magwitch"
