"t" "specificity" "diversity" "ShannonWiener" "Pielou" "Richness" "" "" ""
151 1 84 3.11924974999611 0.834543998949996 42 13 0.0163173377459092 0.640376925468445
152 0 129 3.12499657816617 0.836081542060267 42 13 0.0162343551605297 0.638786971569061
153 0 130 3.12937833384776 0.837253864959047 42 13 0.0161073825503356 0.643144309520721
154 0 131 3.13151582619126 0.83782574331155 42 13 0.0160264900662252 0.646400153636932
155 0 132 3.13469783442185 0.8386770781152 42 13 0.0159463227605437 0.644364595413208
156 0 133 3.13649888631918 0.839158943042084 42 13 0.0158238734090127 0.643700480461121
157 0 134 3.14037710258762 0.840196545790455 42 13 0.0159154570919277 0.633336901664734
158 0 135 3.13893093580955 0.839809629094823 42 13 0.015793883535819 0.634332180023193
159 0 136 3.13620754932631 0.839080996882412 42 13 0.0157154673283706 0.63834136724472
160 0 137 3.13788562969959 0.839529961222402 42 13 0.0156377592683325 0.638220906257629
161 0 138 3.14746824076737 0.836825519502298 43 13 0.0155607514311054 0.640701770782471
162 0 139 3.15312300232797 0.838328965579791 43 13 0.0154844359525515 0.638176441192627
163 0 140 3.15993788178408 0.835036873802803 44 13 0.0153694968553459 0.646957397460938
164 0 141 3.16598080956165 0.836633762004019 44 13 0.0152950310559006 0.649143934249878
165 0 142 3.17008388996831 0.837718031240923 44 13 0.0151828847481021 0.650523543357849
166 0 143 3.16868746199584 0.837349014857612 44 13 0.0151102022267666 0.64999908208847
167 0 144 3.17480828828938 0.834013600318146 45 13 0.0150381565165345 0.633975684642792
168 0 145 3.17391528498761 0.833779010752043 45 13 0.014929785661493 0.648857951164246
170 0 146 3.17629464214373 0.834404061478897 45 13 0.0148959474260679 0.652456402778625
171 0 147 3.17911969793425 0.835146196038531 45 13 0.0148257701464541 0.634684324264526
172 2 58 3.17877102770072 0.835054601305752 45 13 0.0146849158825207 0.649510443210602
173 0 148 3.1754634320501 0.834185704822415 45 13 0.0146167934629473 0.651511073112488
174 1 148 3.17212851635117 0.833309631435846 45 13 0.0144796380090498 0.651647388935089
175 0 149 3.16935634191166 0.832581388664927 45 13 0.0143790849673203 0.650812089443207
176 0 150 3.16760896069638 0.832122356318357 45 13 0.0142798857609139 0.649243235588074
177 0 151 3.1672393980419 0.832025273202774 45 13 0.0142828337142089 0.655177891254425
178 0 152 3.16690367443819 0.831937079514836 45 13 0.0142183243638296 0.658804833889008
179 0 153 3.16278608655297 0.830855400249524 45 13 0.0141543513957307 0.658074080944061
180 0 154 3.15941118125173 0.829968821701963 45 13 0.014025974025974 0.656408071517944
181 0 155 3.16092961549884 0.830367710295629 45 13 0.0139316897791474 0.657496929168701
182 0 156 3.17214121016452 0.833312966066482 45 13 0.0140290738272075 0.659471571445465
183 0 157 3.16952350012315 0.832625300677599 45 13 0.0139978657962463 0.659650325775146
185 0 158 3.17075961131229 0.8329500237631 45 13 0.0138733705772812 0.65796834230423
186 0 159 3.16985743204373 0.832713023695196 45 13 0.0138428483732351 0.659237146377563
187 0 160 3.1744841575355 0.833928452040684 45 13 0.0138121546961326 0.657268464565277
188 0 161 3.17796006618088 0.834841563895157 45 13 0.0138713745271122 0.656652331352234
189 0 162 3.182548811664 0.836047014994497 45 13 0.0138096935138988 0.661144614219666
190 0 163 3.18177137711674 0.835842785029443 45 13 0.013689776733255 0.661312580108643
191 0 164 3.1808537937337 0.835601738342087 45 13 0.0136006974716652 0.659222304821014
192 3 1 3.18069985932602 0.835561300187119 45 13 0.0134839859697545 0.660235226154327
193 0 165 3.1849335788569 0.836673486923467 45 13 0.0134258732506542 0.660729706287384
194 0 166 3.18824869341528 0.837544358603658 45 13 0.0133400878081729 0.662678718566895
195 0 167 3.18930770678802 0.837822558569003 45 13 0.0132553606237817 0.662089109420776
196 0 168 3.18835748819698 0.837572938700261 45 13 0.0131992284375861 0.661788880825043
197 0 169 3.18675018030372 0.837150703238731 45 13 0.0131708115183246 0.662326574325562
198 0 170 3.18698239429659 0.837211705230237 45 13 0.0131152849740933 0.664939284324646
199 0 171 3.18882076120332 0.837694639273291 45 13 0.013060199775653 0.662934184074402
200 1 73 3.18850161151611 0.837610799508652 45 13 0.0129526830557758 0.665093719959259
202 4 1 3.18825635775271 0.83754637200449 45 13 0.0128466771323914 0.668665289878845
203 0 172 3.18667880421624 0.837131952932478 45 13 0.0127680513829897 0.668834328651428
204 0 173 3.18437550539625 0.836526882526007 45 13 0.0127672665743732 0.661868333816528
205 0 174 3.1883355921338 0.837567186663342 45 13 0.0127404700269022 0.669046878814697
206 0 175 3.18674421034725 0.83714913494722 45 13 0.0126633165829146 0.666054487228394
207 0 176 3.18433358791339 0.836515870915975 45 13 0.0125870646766169 0.67097795009613
208 0 177 3.18932960720676 0.833018629044603 46 13 0.0125116989310871 0.671889543533325
209 0 178 3.19240975131042 0.833823129593149 46 13 0.0124372043115642 0.672766268253326
210 0 179 3.19554360997541 0.834641659808034 46 13 0.0124360088863131 0.672615647315979
211 1 163 3.19475710739472 0.834436233783699 46 13 0.012338593974175 0.673030853271484
212 0 180 3.19293893822299 0.833961347529425 46 13 0.0122898413450154 0.67629873752594
213 0 181 3.19233101937261 0.833802565656844 46 13 0.0121945499742038 0.67266833782196
