"V1","V2"
"David Copperfield","Mrs Heep"
"Miss Betsey Trotwood","Mrs Heep"
"Mr Wickfield","Mrs Heep"
"Mrs Heep","Uriah"
"Doctor Strong","Mr Micawber"
"Doctor Strong","Mrs Heep"
"Doctor Strong","Mrs Micawber"
"Mr Micawber","Mrs Heep"
"Mr Micawber","Uriah"
"Mrs Heep","Mrs Micawber"
"Mrs Micawber","Uriah"
"Agnes Wickfield","James Steerforth"
"Agnes Wickfield","Miss Shepherd"
"Agnes Wickfield","Misses Nettingall"
"Doctor Strong","James Steerforth"
"Doctor Strong","Miss Shepherd"
"Doctor Strong","Misses Nettingall"
"James Steerforth","Miss Shepherd"
"James Steerforth","Misses Nettingall"
"James Steerforth","Mr Dick"
"Miss Betsey Trotwood","Miss Shepherd"
"Miss Betsey Trotwood","Misses Nettingall"
"Miss Shepherd","Misses Nettingall"
"Miss Shepherd","Mr Dick"
"Misses Nettingall","Mr Dick"
"Adams","Miss Larkins"
"Adams","Mr Larkins"
"Agnes Wickfield","Miss Larkins"
"Agnes Wickfield","Mr Larkins"
"Doctor Strong","Miss Larkins"
"Doctor Strong","Mr Larkins"
"Miss Larkins","Mr Larkins"
"Miss Larkins","Mr Wickfield"
"Mr Larkins","Mr Wickfield"
"Agnes Wickfield","Captain Bailey"
"Agnes Wickfield","Mr Chestle"
"Captain Bailey","David Copperfield"
"Captain Bailey","Doctor Strong"
"Captain Bailey","Miss Betsey Trotwood"
"Captain Bailey","Miss Larkins"
"Captain Bailey","Mr Chestle"
"Captain Bailey","Mr Dick"
"Captain Bailey","Mr Larkins"
"David Copperfield","Miss Larkins"
"David Copperfield","Mr Chestle"
"David Copperfield","Mr Larkins"
"Doctor Strong","Mr Chestle"
"Miss Betsey Trotwood","Miss Larkins"
"Miss Betsey Trotwood","Mr Chestle"
"Miss Betsey Trotwood","Mr Larkins"
"Miss Larkins","Mr Chestle"
"Miss Larkins","Mr Dick"
"Mr Chestle","Mr Dick"
"Mr Chestle","Mr Larkins"
"Mr Dick","Mr Larkins"
"Miss Larkins","Uriah"
"Agnes Wickfield","William"
"Uriah","William"
"Daniel Peggotty","Mrs Steerforth"
"Daniel Peggotty","Rosa Dartle"
"James Steerforth","Mrs Steerforth"
"James Steerforth","Rosa Dartle"
"Mrs Steerforth","Rosa Dartle"
"David Copperfield","Mrs Steerforth"
"David Copperfield","Rosa Dartle"
"Mr Creakle","Mrs Steerforth"
"Mr Creakle","Rosa Dartle"
"Mrs Steerforth","Tommy Traddles"
"Rosa Dartle","Tommy Traddles"
"James Steerforth","Littimer"
"Littimer","Mrs Steerforth"
"Littimer","Rosa Dartle"
"Barkis","Littimer"
"Barkis","Mr Joram"
"Barkis","Mrs Steerforth"
"Barkis","Rosa Dartle"
"Clara Peggotty","Littimer"
"Clara Peggotty","Mrs Steerforth"
"Clara Peggotty","Rosa Dartle"
"Daniel Peggotty","Littimer"
"Daniel Peggotty","Minnie Joram"
"Daniel Peggotty","Mr Joram"
"Daniel Peggotty","Mr Omer"
"James Steerforth","Minnie Joram"
"James Steerforth","Mr Joram"
"James Steerforth","Mr Omer"
"Littimer","Minnie Joram"
"Littimer","Mr Joram"
"Littimer","Mr Omer"
"Minnie Joram","Mrs Steerforth"
"Minnie Joram","Rosa Dartle"
"Mr Joram","Mrs Steerforth"
"Mr Joram","Rosa Dartle"
"Mr Omer","Mrs Steerforth"
"Mr Omer","Rosa Dartle"
"Little Emily","Minnie Joram"
"Little Emily","Mr Joram"
"Little Emily","Mr Omer"
"Ham Peggotty","Rosa Dartle"
"James Steerforth","Mr Gummidge"
"Little Emily","Rosa Dartle"
"Mr Gummidge","Rosa Dartle"
"Mrs Gummidge","Rosa Dartle"
"Barkis","Mr Grayper"
"Barkis","Mrs Grayper"
"Daniel Peggotty","Mr Grayper"
"Daniel Peggotty","Mrs Grayper"
"James Steerforth","Mr Chillip"
"James Steerforth","Mr Grayper"
"James Steerforth","Mrs Grayper"
"Miss Betsey Trotwood","Mr Grayper"
"Miss Betsey Trotwood","Mrs Grayper"
"Mr Chillip","Mrs Grayper"
"Mr Grayper","Mrs Grayper"
"David Copperfield","Littimer"
"Ham Peggotty","Littimer"
"James Steerforth","Miss Mowcher"
"Littimer","Miss Mowcher"
"Miss Mowcher","Mrs Steerforth"
"Miss Mowcher","Rosa Dartle"
"David Copperfield","Lady Mithers"
"David Copperfield","Miss Mowcher"
"David Copperfield","Mithers"
"James Steerforth","Lady Mithers"
"James Steerforth","Mithers"
"Lady Mithers","Miss Mowcher"
"Lady Mithers","Mithers"
"Miss Mowcher","Mithers"
"Charley Pyegrave","David Copperfield"
"Charley Pyegrave","James Steerforth"
"Charley Pyegrave","Little Emily"
"Charley Pyegrave","Miss Mowcher"
"Little Emily","Miss Mowcher"
"Clara Peggotty","Miss Mowcher"
"David Copperfield","Mr Joram"
"Ham Peggotty","Miss Mowcher"
"Ham Peggotty","Mr Joram"
"Miss Mowcher","Mr Joram"
"Barkis","Martha Endell"
"Clara Peggotty","Martha Endell"
"David Copperfield","Martha Endell"
"David Copperfield","Mr Omer"
"Ham Peggotty","Martha Endell"
"Ham Peggotty","Mr Omer"
"James Steerforth","Martha Endell"
"Little Emily","Martha Endell"
"Martha Endell","Miss Betsey Trotwood"
"Martha Endell","Mr Omer"
"Miss Betsey Trotwood","Mr Omer"
"Littimer","Little Emily"
"Littimer","Martha Endell"
"Littimer","Miss Betsey Trotwood"
"Martha Endell","Mr Joram"
"Miss Betsey Trotwood","Mr Joram"
"Daniel Peggotty","Janet"
"James Steerforth","Janet"
"Clara Copperfield","Mr Jorkins"
"David Copperfield","Mr Jorkins"
"James Steerforth","Mr Jorkins"
"Miss Betsey Trotwood","Mr Jorkins"
"David Copperfield","Mr Spenlow"
"Miss Betsey Trotwood","Mr Spenlow"
"Mr Dick","Mr Jorkins"
"Mr Dick","Mr Spenlow"
"Mr Jorkins","Mr Spenlow"
"James Steerforth","Mr Spenlow"
"Agnes Wickfield","Janet"
"Agnes Wickfield","Mr Jorkins"
"Agnes Wickfield","Mrs Crupp"
"David Copperfield","Mrs Crupp"
"James Steerforth","Mr Wickfield"
"James Steerforth","Mrs Crupp"
"Janet","Mr Jorkins"
"Janet","Mr Wickfield"
"Janet","Mrs Crupp"
"Miss Betsey Trotwood","Mrs Crupp"
"Mr Jorkins","Mr Wickfield"
"Mr Jorkins","Mrs Crupp"
"Mr Wickfield","Mrs Crupp"
"Agnes Wickfield","Mrs Steerforth"
"Agnes Wickfield","Rosa Dartle"
"Mrs Crupp","Mrs Steerforth"
"Mrs Crupp","Rosa Dartle"
"David Copperfield","Grainger"
"David Copperfield","Markham"
"Grainger","James Steerforth"
"Grainger","Markham"
"Grainger","Mrs Crupp"
"James Steerforth","Markham"
"Markham","Mrs Crupp"
"Grainger","Miss Betsey Trotwood"
"Markham","Miss Betsey Trotwood"
"Agnes Wickfield","Markham"
"Agnes Wickfield","Mr Waterbrook"
"David Copperfield","Mr Waterbrook"
"Markham","Mr Waterbrook"
"James Steerforth","Miss Larkins"
"James Steerforth","Uriah"
"Agnes Wickfield","Mr Henry Spiker"
"Agnes Wickfield","Mrs Henry Spiker"
"Agnes Wickfield","Mrs Waterbrook"
"David Copperfield","Mr Henry Spiker"
"David Copperfield","Mrs Henry Spiker"
"David Copperfield","Mrs Waterbrook"
"Mr Henry Spiker","Mr Waterbrook"
"Mr Henry Spiker","Mrs Henry Spiker"
"Mr Henry Spiker","Mrs Waterbrook"
"Mr Henry Spiker","Uriah"
"Mr Waterbrook","Mrs Henry Spiker"
"Mr Waterbrook","Mrs Waterbrook"
"Mr Waterbrook","Uriah"
"Mrs Henry Spiker","Mrs Waterbrook"
"Mrs Henry Spiker","Uriah"
"Mrs Waterbrook","Uriah"
"Agnes Wickfield","Mr Gulpidge"
"Agnes Wickfield","Mrs Gulpidge"
"Agnes Wickfield","Tommy Traddles"
"David Copperfield","Mr Gulpidge"
"David Copperfield","Mrs Gulpidge"
"Mr Gulpidge","Mr Henry Spiker"
"Mr Gulpidge","Mr Waterbrook"
"Mr Gulpidge","Mrs Gulpidge"
"Mr Gulpidge","Mrs Henry Spiker"
"Mr Gulpidge","Mrs Waterbrook"
"Mr Gulpidge","Tommy Traddles"
"Mr Gulpidge","Uriah"
"Mr Henry Spiker","Mrs Gulpidge"
"Mr Henry Spiker","Tommy Traddles"
"Mr Waterbrook","Mrs Gulpidge"
"Mr Waterbrook","Tommy Traddles"
"Mrs Gulpidge","Mrs Henry Spiker"
"Mrs Gulpidge","Mrs Waterbrook"
"Mrs Gulpidge","Tommy Traddles"
"Mrs Gulpidge","Uriah"
"Mrs Henry Spiker","Tommy Traddles"
"Mrs Waterbrook","Tommy Traddles"
"Tommy Traddles","Uriah"
"James Steerforth","Mr Gulpidge"
"James Steerforth","Mr Henry Spiker"
"James Steerforth","Mr Waterbrook"
"James Steerforth","Mrs Henry Spiker"
"Mrs Crupp","Uriah"
"Agnes Wickfield","Mr Spenlow"
"Mr Jorkins","Uriah"
"Mr Spenlow","Mrs Crupp"
"Mr Spenlow","Uriah"
"Mr Spenlow","Mr Tiffey"
"Jane Murdstone","Mr Spenlow"
"Agnes Wickfield","Jane Murdstone"
"Jane Murdstone","Mrs Crupp"
"Mr Micawber","Mrs Crupp"
"Mr Micawber","Tommy Traddles"
"Mrs Crupp","Mrs Micawber"
"Mrs Crupp","Tommy Traddles"
"Mrs Micawber","Tommy Traddles"
"David Copperfield","Yawler"
"Mr Waterbrook","Yawler"
"Tommy Traddles","Yawler"
"Mr Micawber","Mr Spenlow"
"Mr Spenlow","Mrs Micawber"
"Mr Spenlow","Tommy Traddles"
"Miss Micawber","Tommy Traddles"
"Littimer","Mr Micawber"
"Littimer","Mrs Crupp"
"Littimer","Mrs Micawber"
"Littimer","Tommy Traddles"
"Agnes Wickfield","Mr Micawber"
"Agnes Wickfield","Mrs Micawber"
"Mr Micawber","Rosa Dartle"
"Littimer","Mr Jorkins"
"Littimer","Mr Spenlow"
"Mr Jorkins","Mrs Steerforth"
"Mr Jorkins","Rosa Dartle"
"Mr Spenlow","Mrs Steerforth"
"Mr Spenlow","Rosa Dartle"
"Clara Copperfield","Mrs Steerforth"
"Clara Copperfield","Rosa Dartle"
"Daniel Peggotty","Martha Endell"
"Little Emily","Mr Chillip"
"Martha Endell","Minnie Joram"
"Martha Endell","Mr Chillip"
"Mr Chillip","Mr Joram"
"David Copperfield","Minnie Joram"
"Ham Peggotty","Minnie Joram"
"Minnie Joram","Mrs Gummidge"
"Mr Omer","Mrs Gummidge"
"Barkis","Miss Mowcher"
"Minnie Joram","Miss Mowcher"
"Daniel Peggotty","Miss Mowcher"
"Littimer","Mrs Gummidge"
"Miss Mowcher","Mrs Gummidge"
"Clara Peggotty","Mrs Crupp"
"Daniel Peggotty","Mrs Crupp"
"Little Emily","Mrs Crupp"
"Little Emily","Mrs Steerforth"
"Barkis","Mr Spenlow"
"Barkis","Mr Tiffey"
"Clara Peggotty","Mr Spenlow"
"Clara Peggotty","Mr Tiffey"
"Mr Murdstone","Mr Spenlow"
"Mr Murdstone","Mr Tiffey"
"Clara Copperfield","Mr Spenlow"
"Clara Copperfield","Mr Tiffey"
"Clara Peggotty","Mr Jorkins"
"David Copperfield","Mr Tiffey"
"Jane Murdstone","Mr Jorkins"
"Jane Murdstone","Mr Tiffey"
"Miss Betsey Trotwood","Mr Tiffey"
"Mr Jorkins","Mr Murdstone"
"Mr Jorkins","Mr Tiffey"
"David Copperfield","Julia Mills"
"Jane Murdstone","Julia Mills"
"Julia Mills","Mr Spenlow"
"Julia Mills","Mrs Crupp"
"David Copperfield","Mr Mills"
"Julia Mills","Mr Mills"
"Mr Mills","Mr Spenlow"
"Julia Mills","Miss Kitt"
"Miss Kitt","Mr Spenlow"
"Agnes Wickfield","Clara Peggotty"
"David Copperfield","Sarah Crewler"
"David Copperfield","Sophy Crewler"
"Mr Micawber","Sarah Crewler"
"Mr Micawber","Sophy Crewler"
"Mrs Micawber","Sarah Crewler"
"Mrs Micawber","Sophy Crewler"
"Sarah Crewler","Sophy Crewler"
"Sarah Crewler","Tommy Traddles"
"Sophy Crewler","Tommy Traddles"
"Barkis","Mrs Crupp"
"Barkis","Sophy Crewler"
"Clara Peggotty","Sophy Crewler"
"Miss Betsey Trotwood","Sophy Crewler"
"Mr Dick","Mrs Crupp"
"Mr Dick","Sophy Crewler"
"Mr Dick","Tommy Traddles"
"Mrs Crupp","Sophy Crewler"
"Barkis","Janet"
"Mr Tiffey","Uriah"
"Mrs Crupp","Mrs Heep"
"Annie Strong","Miss Betsey Trotwood"
"Annie Strong","Mrs Steerforth"
"Annie Strong","Rosa Dartle"
"Jack Maldon","Miss Betsey Trotwood"
"Jack Maldon","Mrs Steerforth"
"Jack Maldon","Rosa Dartle"
"Miss Betsey Trotwood","Mrs Steerforth"
