"source" "target" "tag"
154 155 "La Fayette Kettle"
119 155 "Major Pawkins"
154 155 "Mark Tapley"
154 155 "Martin Jr"
155 156 "Mark Tapley"
155 156 "Martin Jr"
156 157 "Mark Tapley"
156 157 "Martin Jr"
156 157 "Zephaniah Scadder"
155 158 "Jeff Brick"
155 158 "La Fayette Kettle"
157 158 "Mark Tapley"
157 158 "Martin Jr"
157 158 "Zephaniah Scadder"
158 159 "Martin Jr"
159 160 "Martin Jr"
158 161 "Mark Tapley"
160 161 "Martin Jr"
142 161 "Mrs Gamp"
161 162 "Captain Kedgick"
161 162 "Mark Tapley"
161 162 "Martin Jr"
162 163 "Martin Jr"
162 164 "Captain Kedgick"
162 164 "Mark Tapley"
163 164 "Martin Jr"
163 164 "Mrs Hominy"
158 164 "Zephaniah Scadder"
164 165 "Mark Tapley"
164 165 "Martin Jr"
165 166 "Mark Tapley"
165 166 "Martin Jr"
154 166 "Mr Bevan"
164 166 "Mrs Hominy"
164 166 "Zephaniah Scadder"
166 167 "Mark Tapley"
166 167 "Martin Jr"
167 168 "Mark Tapley"
167 168 "Martin Jr"
168 169 "Mark Tapley"
168 169 "Martin Jr"
169 170 "Mark Tapley"
144 171 "Anthony Chuzzlewit"
149 171 "Charity Pecksniff"
149 171 "Jonas Chuzzlewit"
140 171 "Martin Sr"
133 171 "Mrs Todgers"
151 171 "Seth Pecksniff"
171 172 "Charity Pecksniff"
171 172 "Jonas Chuzzlewit"
171 172 "Martin Sr"
161 172 "Mrs Gamp"
171 172 "Seth Pecksniff"
172 173 "Jonas Chuzzlewit"
169 173 "Martin Jr"
149 173 "Mercy Pecksniff"
172 173 "Seth Pecksniff"
151 173 "Tom Pinch"
172 174 "Charity Pecksniff"
173 174 "Jonas Chuzzlewit"
173 174 "Mercy Pecksniff"
173 174 "Seth Pecksniff"
173 174 "Tom Pinch"
174 175 "Charity Pecksniff"
174 175 "Jonas Chuzzlewit"
173 175 "Martin Jr"
174 175 "Seth Pecksniff"
174 175 "Tom Pinch"
175 176 "Jonas Chuzzlewit"
175 176 "Martin Jr"
172 176 "Martin Sr"
174 176 "Mercy Pecksniff"
176 177 "Jonas Chuzzlewit"
176 177 "Martin Sr"
176 177 "Mercy Pecksniff"
142 178 "Mr Mould"
141 178 "Tacker"
178 179 "Mr Mould"
172 179 "Mrs Gamp"
178 179 "Mrs Mould"
175 179 "Seth Pecksniff"
178 179 "Tacker"
142 180 "Chuffey"
177 180 "Martin Sr"
179 180 "Mr Mould"
179 180 "Mrs Gamp"
179 180 "Mrs Mould"
171 181 "Anthony Chuzzlewit"
180 181 "Chuffey"
142 181 "Doctor Jobling"
101 181 "John Westlock"
180 181 "Lewsome"
180 181 "Mrs Gamp"
180 181 "Mrs Mould"
180 181 "Mrs Prig"
181 182 "John Westlock"
180 182 "Martin Sr"
181 182 "Mrs Gamp"
181 182 "Mrs Prig"
182 183 "Mrs Gamp"
181 184 "Chuffey"
181 184 "Doctor Jobling"
182 184 "John Westlock"
183 184 "Mrs Gamp"
182 184 "Mrs Prig"
184 185 "Mrs Gamp"
85 186 "Young Bailey"
184 187 "Chuffey"
177 187 "Jonas Chuzzlewit"
177 187 "Mercy Pecksniff"
185 187 "Mrs Gamp"
186 187 "Young Bailey"
187 188 "Chuffey"
187 188 "Jonas Chuzzlewit"
187 188 "Mercy Pecksniff"
187 188 "Mrs Gamp"
187 188 "Young Bailey"
100 189 "Tigg Montague"
188 189 "Young Bailey"
189 190 "Tigg Montague"
189 190 "Young Bailey"
190 191 "Tigg Montague"
181 192 "Anthony Chuzzlewit"
191 192 "David Crimple"
184 192 "Doctor Jobling"
184 192 "John Westlock"
188 192 "Mrs Gamp"
191 192 "Tigg Montague"
192 193 "David Crimple"
192 193 "Doctor Jobling"
192 193 "Tigg Montague"
192 194 "Bullamy"
193 194 "David Crimple"
193 194 "Doctor Jobling"
188 194 "Jonas Chuzzlewit"
193 194 "Tigg Montague"
194 195 "Jonas Chuzzlewit"
194 195 "Tigg Montague"
190 195 "Young Bailey"
195 196 "Jonas Chuzzlewit"
195 196 "Tigg Montague"
196 197 "Jonas Chuzzlewit"
196 197 "Tigg Montague"
194 198 "Doctor Jobling"
197 198 "Jonas Chuzzlewit"
182 198 "Martin Sr"
197 198 "Tigg Montague"
195 198 "Young Bailey"
194 199 "David Crimple"
198 199 "Doctor Jobling"
198 199 "Jonas Chuzzlewit"
198 199 "Tigg Montague"
199 200 "David Crimple"
199 200 "Jonas Chuzzlewit"
198 200 "Mr Pip"
197 200 "Nadgett"
199 200 "Tigg Montague"
198 200 "Young Bailey"
200 201 "Jonas Chuzzlewit"
188 201 "Mercy Pecksniff"
200 201 "Young Bailey"
201 202 "Jonas Chuzzlewit"
192 203 "Mrs Gamp"
201 203 "Young Bailey"
200 204 "David Crimple"
198 204 "Martin Sr"
203 204 "Mrs Gamp"
203 204 "Young Bailey"
192 205 "John Westlock"
181 205 "Lewsome"
204 205 "Mrs Gamp"
184 205 "Mrs Prig"
204 205 "Young Bailey"
205 206 "John Westlock"
205 206 "Lewsome"
205 206 "Mrs Gamp"
181 206 "Mrs Mould"
205 206 "Mrs Prig"
200 206 "Nadgett"
205 206 "Young Bailey"
175 207 "Charity Pecksniff"
202 207 "Jonas Chuzzlewit"
201 207 "Mercy Pecksniff"
179 207 "Seth Pecksniff"
207 208 "Charity Pecksniff"
207 208 "Jonas Chuzzlewit"
204 208 "Martin Sr"
171 208 "Mrs Todgers"
207 208 "Seth Pecksniff"
192 209 "Anthony Chuzzlewit"
176 209 "Martin Jr"
208 209 "Martin Sr"
208 209 "Mrs Todgers"
208 209 "Seth Pecksniff"
209 210 "Martin Jr"
209 210 "Martin Sr"
107 210 "Mrs Lupin"
209 210 "Seth Pecksniff"
210 211 "Seth Pecksniff"
210 212 "Martin Jr"
210 212 "Martin Sr"
211 212 "Seth Pecksniff"
208 213 "Charity Pecksniff"
212 213 "Martin Jr"
207 213 "Mercy Pecksniff"
209 213 "Mrs Todgers"
212 213 "Seth Pecksniff"
175 213 "Tom Pinch"
213 215 "Charity Pecksniff"
213 215 "Seth Pecksniff"
206 216 "John Westlock"
170 216 "Mark Tapley"
213 216 "Martin Jr"
210 216 "Mary"
213 216 "Mercy Pecksniff"
215 216 "Seth Pecksniff"
213 216 "Tom Pinch"
216 217 "Martin Jr"
216 217 "Seth Pecksniff"
216 217 "Tom Pinch"
212 218 "Martin Sr"
217 218 "Seth Pecksniff"
217 218 "Tom Pinch"
218 219 "Jane"
217 219 "Martin Jr"
218 219 "Martin Sr"
218 219 "Seth Pecksniff"
218 219 "Tom Pinch"
219 220 "Martin Jr"
219 220 "Martin Sr"
216 220 "Mary"
219 220 "Seth Pecksniff"
219 220 "Tom Pinch"
219 221 "Jane"
220 221 "Martin Jr"
210 221 "Mrs Lupin"
220 221 "Seth Pecksniff"
220 221 "Tom Pinch"
221 222 "Martin Jr"
221 222 "Seth Pecksniff"
221 222 "Tom Pinch"
209 223 "Anthony Chuzzlewit"
86 223 "Augustus Moddle"
215 223 "Charity Pecksniff"
86 223 "Mr Jinkins"
213 223 "Mrs Todgers"
222 223 "Seth Pecksniff"
206 223 "Young Bailey"
223 224 "Augustus Moddle"
223 224 "Charity Pecksniff"
208 224 "Jonas Chuzzlewit"
216 224 "Mercy Pecksniff"
223 224 "Mrs Todgers"
224 225 "Augustus Moddle"
224 225 "Charity Pecksniff"
223 225 "Mr Jinkins"
224 225 "Mrs Todgers"
111 226 "Anonymous Woman"
225 226 "Augustus Moddle"
155 226 "General Choke"
216 226 "Mark Tapley"
222 226 "Martin Jr"
166 226 "Zephaniah Scadder"
226 227 "Anonymous Woman"
226 227 "Mark Tapley"
226 227 "Martin Jr"
227 228 "Mark Tapley"
227 228 "Martin Jr"
228 229 "Major Chollop"
228 229 "Mark Tapley"
220 229 "Martin Sr"
226 229 "Zephaniah Scadder"
227 230 "Anonymous Woman"
229 230 "Major Chollop"
229 230 "Mark Tapley"
228 230 "Martin Jr"
221 230 "Mrs Lupin"
230 231 "Mark Tapley"
230 231 "Martin Jr"
166 231 "Mr Bevan"
128 231 "Mr Norris"
230 232 "Anonymous Woman"
231 232 "Mark Tapley"
231 232 "Martin Jr"
229 232 "Martin Sr"
223 232 "Seth Pecksniff"
222 232 "Tom Pinch"
232 234 "Martin Jr"
230 235 "Major Chollop"
232 235 "Mark Tapley"
234 235 "Martin Jr"
232 235 "Martin Sr"
234 235 "Pogram"
229 235 "Zephaniah Scadder"
164 236 "Captain Kedgick"
235 236 "Mark Tapley"
235 236 "Martin Jr"
235 236 "Pogram"
236 237 "Doctor Dunkle"
236 237 "Mark Tapley"
236 237 "Martin Jr"
166 237 "Mrs Hominy"
236 237 "Pogram"
234 238 "Chiggle"
237 238 "Mark Tapley"
237 238 "Mrs Hominy"
237 238 "Oscar Buffum"
237 238 "Pogram"
237 239 "Doctor Dunkle"
128 239 "General Fladdock"
238 239 "Mark Tapley"
237 239 "Martin Jr"
231 239 "Mr Bevan"
238 239 "Pogram"
239 240 "Mark Tapley"
239 240 "Martin Jr"
239 240 "Mr Bevan"
240 241 "Mark Tapley"
240 241 "Martin Jr"
230 241 "Mrs Lupin"
232 241 "Seth Pecksniff"
232 241 "Tom Pinch"
241 242 "Mark Tapley"
241 242 "Martin Jr"
241 242 "Seth Pecksniff"
242 243 "Mark Tapley"
242 243 "Martin Jr"
242 243 "Seth Pecksniff"
216 244 "John Westlock"
241 244 "Mrs Lupin"
244 245 "John Westlock"
244 245 "Mrs Lupin"
245 246 "Mrs Lupin"
245 247 "John Westlock"
247 248 "John Westlock"
241 248 "Tom Pinch"
248 249 "John Westlock"
65 249 "Ruth Pinch"
225 250 "Mrs Todgers"
